mlb_id,mlb_name,mlb_pos,mlb_team,mlb_team_long,bats,throws,birth_year,bp_id,bref_id,bref_name,fg_id,fg_name,fg_pos,lahman_id,retro_id,retro_name,debut
621563,Joey Wendle,2B,TB,Tampa Bay Rays,L,R,1990,100666,wendljo01,Joey Wendle,13853,Joey Wendle,2B,wendljo01,wendj002,Joey Wendle,20160831
621566,Matt Olson,1B,OAK,Oakland Athletics,L,R,1994,100668,olsonma02,Matt Olson,14344,Matt Olson,1B,olsonma02,olsom001,Matt Olson,20160912
621573,Austin Dean,LF,MIA,Miami Marlins,R,R,1993,100671,deanau01,Austin Dean,18288,Austin Dean,OF,,deana001,Austin Dean,20180815
621575,Joey Curletta,1B,SEA,Seattle Mariners,R,R,1994,100672,,,,,,,,,22220202
621592,Eduardo Jimenez,P,DET,Detroit Tigers,R,R,1995,100686,,,sa655954,Eduardo Jimenez,P,,,,22220202
621962,Ian Thomas,P,LAD,Los Angeles Dodgers,R,L,1987,100700,thomaia01,Ian Thomas,13881,Ian Thomas,P,thomaia01,thomi001,Ian Thomas,20140331
622072,Alex Wood,P,CIN,Cincinnati Reds,R,L,1991,100718,woodal02,Alex Wood,13781,Alex Wood,P,woodal02,wooda002,Alex Wood,20130530
622075,Yency Almonte,P,COL,Colorado Rockies,S,R,1994,100720,almonye01,Yency Almonte,15068,Yency Almonte,P,,almoy001,Yency Almonte,20180621
622092,Kyle Zimmer,P,KC,Kansas City Royals,R,R,1991,100727,,,sa621583,Kyle Zimmer,,,,,22220202
622097,Jake Thompson,P,MIL,Milwaukee Brewers,R,R,1994,100731,thompja03,Jake Thompson,14371,Jake Thompson,P,thompja03,thomj007,Jake Thompson,20160806
622110,Matt Duffy,3B,TB,Tampa Bay Rays,R,R,1991,100736,duffyma01,Matt Duffy,13836,Matt Duffy,3B,duffyma01,duffm002,Matt Duffy,20140801
622161,Eduardo Paredes,P,LAA,Los Angeles Angels,R,R,1995,100742,pareded01,Eduardo Paredes,16344,Eduardo Paredes,P,pareded01,paree001,Eduardo Paredes,20170623
622168,Yairo Munoz,SS,STL,St. Louis Cardinals,R,R,1995,100748,munozya01,Yairo Munoz,16313,Yairo Munoz,SS,,munoy001,Yairo Munoz,20180329
622194,Bruce Maxwell,C,OAK,Oakland Athletics,L,R,1990,100767,maxwebr01,Bruce Maxwell,13866,Bruce Maxwell,C,maxwebr01,maxwb001,Bruce Maxwell,20160723
622210,Ian Parmley,OF,TOR,Toronto Blue Jays,L,L,1989,100776,parmlia01,Ian Parmley,13821,Ian Parmley,OF,parmlia01,parmi001,Ian Parmley,20170623
622217,Chris O'Grady,P,MIA,Miami Marlins,R,L,1990,100780,ogradch01,Chris O'Grady,13818,Chris O'Grady,,ogradch01,ograc001,Chris O'Grady,20170708
622226,Dylan Cozens,RF,PHI,Philadelphia Phillies,L,L,1994,100786,cozendy01,Dylan Cozens,15115,Dylan Cozens,OF,,cozed001,Dylan Cozens,20180601
622270,Alex Mejia,2B,STL,St. Louis Cardinals,R,R,1991,100803,mejiaal01,Alex Mejia,13877,Alex Mejia,2B/3B/SS,mejiaal01,mejia002,Alex Mejia,20170629
622338,Jesus Liranzo,P,PIT,Pittsburgh Pirates,R,R,1995,100817,,,sa658076,Jesus Liranzo,,,,,22220202
622382,Gabriel Moya,P,MIN,Minnesota Twins,L,L,1995,100857,moyaga01,Gabriel Moya,16348,Gabriel Moya,P,moyaga01,moyag001,Gabriel Moya,20170912
622441,Rafael Bautista,CF,WSH,Washington Nationals,R,R,1993,100904,bautira01,Rafael Bautista,15769,Rafael Bautista,OF,bautira01,bautr001,Rafael Bautista,20170430
622446,Jefry Rodriguez,P,CLE,Cleveland Indians,R,R,1993,100909,rodrije01,Jefry Rodriguez,17018,Jefry Rodriguez,P,,rodrj005,Jefry Rodriguez,20180603
622491,Luis Castillo,P,CIN,Cincinnati Reds,R,R,1992,100945,castilu02,Luis Castillo,15689,Luis Castillo,P,castilu02,castl003,Luis Castillo,20170623
